"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","budget","dataset","epochs","fanout","hidden","layer","mode","num_parts","num_threads","run","sampler","seed","fastladies","accuracy","auroc","dataloading time","end-to-end time","equality","f1","inference time","loss","modelpath","num_edges","num_nodes","overall training time","parity","process cpu times","sampling time","system cpu stats","system cpu times","test-acc","test-auroc","test-f1","time per epoch","used memory","used memory full","sampled_edges","sampled_nodes"
"gcn-pokec-z-cluster-cpu-32-20-2-16-150000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:18:01.000Z","122","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","150000","32","3","cluster","10","","0.9189037680625916","0.5","5.807328749448061","118.77118852362037","749748.5","0","2.2204217314720154","-11233.915776466836","2024-06-26-16-18-02-gcn-pokec-z-cluster-cpu-32-20-2-16-150000-1024-[0]-None-1000.pkl","1371508","67796","104.8309180624783","29134.4375","[1802.47,12.68,0.01,0.07,0]","4.256770323961973","[18253832454,117397896854,119727952115,0]","[361331786.79,5720.21,26740473.66,558008020.33,9227.19,0,35134.78,1911488.8,0,0]","0.4641465246677398","0.5","0","5.241183852590621","960.05078125","[1006858240,8499757056,238325760,2838528,0,3408683008,0,987496448,991915008,0]","1594","467"
"gcn-pokec-z-cluster-cpu-32-20-2-16-121000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:16:11.000Z","102","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","121000","32","3","cluster","10","","0.9189037680625916","0.5","5.792569790035486","98.2214527837932","495705.375","0","2.097649332135916","-7422.275579372374","2024-06-26-16-16-11-gcn-pokec-z-cluster-cpu-32-20-2-16-121000-1024-[0]-None-1000.pkl","1371508","67796","84.84658785536885","19267.6171875","[1459.29,11.36,0.02,0.07,0]","3.860874932259321","[18253244896,117397122514,119727192169,0]","[361329976.58,5720.21,26740457.95,558005649.69,9227.11,0,35134.75,1911479.56,0,0]","0.4641465246677398","0.5","0","4.241972233913839","954.43359375","[1000796160,8488476672,238338048,2838528,0,3394592768,0,982036480,986442752,0]","1980","604"
"gcn-pokec-z-cluster-cpu-32-20-2-16-92000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:14:39.000Z","83","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","92000","32","3","cluster","10","","0.9189037680625916","0.5","5.783855352550745","79.40548783913255","261183.65625","0","1.7482282407581806","-3900.240530056424","2024-06-26-16-14-39-gcn-pokec-z-cluster-cpu-32-20-2-16-92000-1024-[0]-None-1000.pkl","1371508","67796","66.47863625362515","10141.48046875","[1127.18,11.59,0.02,0.07,0]","3.574695114046335","[18252800314,117396501732,119726555875,0]","[361328507.24,5720.21,26740443.66,558003583.48,9227.04,0,35134.69,1911472.11,0,0]","0.4641465246677398","0.5","0","3.3235670663416386","963.7734375","[1010589696,8500047872,237486080,2838528,0,3410010112,0,991047680,995447808,0]","2276","691"
"gcn-pokec-z-cluster-cpu-32-20-2-16-63000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:13:27.000Z","63","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","63000","32","3","cluster","10","","0.9189037680625916","0.5","5.7579335533082485","57.933337800204754","138491.328125","0","1.8484595082700253","-2073.7223392609626","2024-06-26-16-13-27-gcn-pokec-z-cluster-cpu-32-20-2-16-63000-1024-[0]-None-1000.pkl","1371508","67796","45.2171983756125","5381.75","[806.3,10.24,0.02,0.07,0]","3.2363626286387444","[18252467363,117396019110,119726081816,0]","[361327372.28,5720.21,26740429.18,558001738.19,9226.95,0,35134.65,1911467.11,0,0]","0.4641465246677398","0.5","0","2.260507196560502","975.91796875","[1023324160,8513073152,238374912,2838528,0,3424108544,0,1004105728,1008561152,0]","3662","1091"
"gcn-pokec-z-cluster-cpu-32-20-2-16-34000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:12:33.000Z","45","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","34000","32","3","cluster","10","","0.9189037680625916","0.5","5.7911353670060635","40.85573787242174","48925.734375","0","1.5624022334814072","-730.5425774069394","2024-06-26-16-12-34-gcn-pokec-z-cluster-cpu-32-20-2-16-34000-1024-[0]-None-1000.pkl","1371508","67796","29.373719301074743","1899.4814453125","[541.49,9.36,0.02,0.07,0]","2.532011963427067","[18252225701,117395664949,119725730680,0]","[361326559.78,5720.21,26740416.17,558000304.69,9226.89,0,35134.6,1911463.79,0,0]","0.4641465246677398","0.5","0","1.468304750137031","994.53125","[1042841600,8532123648,236949504,2838528,0,3426390016,0,1023197184,1027606528,0]","7392","2060"
"gcn-pokec-z-cluster-cpu-32-20-2-16-5000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:12:01.000Z","24","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","5000","32","3","cluster","10","","0.9189037680625916","0.3575971722602844","5.762681029736996","20.14223108068109","1154.801513671875","0","1.6469964794814589","-17.22466926574707","2024-06-26-16-12-01-gcn-pokec-z-cluster-cpu-32-20-2-16-5000-1024-[0]-None-1000.pkl","1371508","67796","9.07852590084076","44.34291076660156","[216.92,8.84,0.01,0.08,0]","1.8812664784491064","[18252058446,117395415916,119725492203,0]","[361326015.3,5720.21,26740404.22,557999160.63,9226.85,0,35134.55,1911460.97,0,0]","0.4641465246677398","0.5206075310707092","0","0.453566213324666","1004.06640625","[1052839936,8539041792,237486080,2838528,0,3431518208,0,1033379840,1037809664,0]","111556","13883"
"gcn-pokec-z-cluster-cpu-32-20-2-16-3500-1024-[0]-None-1000","finished","-","","","2024-06-26T14:11:29.000Z","23","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","3500","32","3","cluster","10","","0.9189037680625916","0.3612565100193024","5.8017763793468475","19.452485725283623","2016.13427734375","0","1.7439346350729463","-29.860175132751465","2024-06-26-16-11-30-gcn-pokec-z-cluster-cpu-32-20-2-16-3500-1024-[0]-None-1000.pkl","1371508","67796","8.476428594440222","76.65505981445312","[202.83,8.11,0.01,0.08,0]","1.7915181294083595","[18251984008,117395291764,119725391244,0]","[361325795.22,5720.21,26740392.66,557998358.02,9226.78,0,35134.52,1911459.95,0,0]","0.4641465246677398","0.5099973082542419","0","0.423460153862834","1039.8359375","[1090347008,8576528384,237977600,2838528,0,3468840960,0,1070006272,1074407424,0]","186344","19836"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2500-1024-[0]-None-1000","finished","-","","","2024-06-26T14:10:55.000Z","25","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2500","32","3","cluster","10","","0.9189037680625916","0.36588001251220703","5.9339355155825615","19.764453507959843","685.52099609375","0","1.64563911780715","-9.971216519673666","2024-06-26-16-10-55-gcn-pokec-z-cluster-cpu-32-20-2-16-2500-1024-[0]-None-1000.pkl","1371508","67796","8.921501502394676","26.43988800048828","[190.76,14.71,0.02,0.08,0]","1.6680634506046772","[18251902997,117395178276,119725295041,0]","[361325589.94,5720.21,26740381.73,557997492.76,9226.77,0,35134.41,1911458.18,0,0]","0.4641465246677398","0.5462331175804138","0","0.4457100147381425","983.36328125","[1031131136,8512753664,237170688,2838528,0,3414171648,0,1012375552,1016844288,0]","314802","27758"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2250-1024-[0]-None-1000","finished","-","","","2024-06-26T14:10:23.000Z","23","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2250","32","3","cluster","10","","0.9189037680625916","0.3700127601623535","5.736725982278585","19.48904002830386","789.0045166015625","0","1.600986585021019","-11.762347539265951","2024-06-26-16-10-24-gcn-pokec-z-cluster-cpu-32-20-2-16-2250-1024-[0]-None-1000.pkl","1371508","67796","8.902615811675787","30.31890869140625","[183.91,19.71,0.02,0.07,0]","1.6467426232993605","[18251824125,117395062122,119725198921,0]","[361325396.35,5720.21,26740364.31,557996675.3,9226.75,0,35134.35,1911457.26,0,0]","0.4641465246677398","0.5399771928787231","0","0.4447337962687016","989.2890625","[1037344768,8516911104,237236224,2838528,0,3420381184,0,1017643008,1022074880,0]","383158","30861"
"gcn-pokec-z-cluster-cpu-32-20-2-16-2000-1024-[0]-None-1000","finished","-","","","2024-06-26T14:09:49.000Z","25","","gcn","1024","1000","pokec-z","20","[0]","16","2","cpu","2000","32","3","cluster","10","","0.9189037680625916","0.3728289604187012","5.907604232430458","20.301121849566695","281.8339538574219","0","1.76399327814579","-3.928468346595764","2024-06-26-16-09-50-gcn-pokec-z-cluster-cpu-32-20-2-16-2000-1024-[0]-None-1000.pkl","1371508","67796","9.337049268186092","11.717899322509766","[188.95,18.96,0.01,0.07,0]","1.694765478372574","[18251742170,117394942488,119725102357,0]","[361325209.66,5720.21,26740341.93,557995834.78,9226.72,0,35134.32,1911456.22,0,0]","0.4641465246677398","0.563713014125824","0","0.4665019601583481","971.2421875","[1018421248,8503631872,236888064,2838528,0,3397902336,0,999141376,1003489280,0]","454116","34693"
